,Inner Mongolia,Heilongjiang,Jilin,Liaoning,Gansu,Ningxia,Qinghai,Shaanxi,Xinjiang,Beijing,Hebei,Shandong,Shanxi,Tianjin,Chongqing,Guizhou,Sichuan,Tibet,Guangdong,Guangxi,Hainan,Yunnan,Henan,Hubei,Hunan,Jiangxi,Anhui,Fujian,Jiangsu,Shanghai,Zhejiang
Tibet,2225.67532,3639.514265,3348.192576,3137.546486,1326.937641,1597.742532,850.428854,1730.690626,1492.908486,2517.960521,2386.91388,2491.344998,2131.739708,2560.279915,1489.806869,1597.170685,1249.498222,0.0,2349.621939,1922.148911,2267.966024,1307.385941,2164.838648,2226.063818,2144.015236,2410.941919,2496.885097,2711.567445,2730.721089,2906.612043,2791.850771
Guangdong,2079.037183,3017.239373,2556.271154,2276.138829,1697.963811,1723.574214,2172.34661,1302.622795,3270.176138,1886.419072,1666.903824,1545.009452,1635.924781,1814.557769,980.930134,758.199563,1232.504687,2349.621939,0.0,504.339696,459.914771,1085.767782,1290.493751,831.531874,562.020366,668.813756,1045.757201,606.100595,1179.249766,1213.650071,1049.232929
Guangxi,2134.936913,3259.204216,2813.27505,2532.245331,1533.942211,1639.985082,1889.754628,1273.842495,2999.143338,2047.842972,1823.745047,1751.447185,1720.276887,1998.750182,772.570024,446.557165,968.693052,1922.148911,504.339696,0.0,376.282297,619.300786,1425.24746,1047.039627,761.450543,999.880573,1338.011839,1072.808668,1525.229182,1605.930258,1441.165437
Hainan,2427.421427,3454.08116,2996.539312,2715.221065,1894.324134,1980.17555,2265.999803,1590.515984,3375.42385,2287.124157,2063.62825,1961.974047,1995.991163,2224.669145,1132.27685,817.264714,1341.310225,2267.966024,459.914771,376.282297,0.0,961.493911,1671.852207,1240.001529,950.530703,1115.251886,1487.340786,1056.220571,1634.8364,1673.564084,1509.074232
Yunnan,2037.782315,3337.235774,2927.851564,2658.702395,1225.016138,1420.601852,1401.464047,1187.235834,2488.585436,2087.390744,1878.601658,1873.496677,1699.074724,2070.35275,622.050931,432.912463,638.132203,1307.385941,1085.767782,619.300786,961.493911,0.0,1506.118259,1292.111272,1079.036558,1366.163099,1609.300744,1564.737054,1835.2012,1964.915418,1813.037728
Henan,802.838283,1851.514052,1425.692395,1153.30395,909.378105,727.708802,1537.729986,434.148081,2435.791363,622.606321,398.552021,369.520022,358.921098,578.907696,890.373483,1126.693196,1005.161475,2164.838648,1290.493751,1425.24746,1671.852207,1506.118259,0.0,468.993544,730.923741,709.055527,467.20232,1063.135282,644.305453,836.693933,791.839064
Hubei,1271.032672,2220.968788,1769.506694,1487.92703,1152.634064,1063.813752,1753.174594,647.627511,2757.727097,1055.28236,835.381703,721.972523,825.808609,986.612651,763.487481,864.364442,978.743111,2226.063818,831.531874,1047.039627,1240.001529,1292.111272,468.993544,0.0,291.777411,261.983469,317.305995,635.379008,545.833785,695.499167,566.877228
Hunan,1517.213227,2512.694998,2060.54355,1778.877363,1230.411439,1204.80332,1782.255238,774.925595,2839.968514,1338.196663,1115.655861,1012.482159,1073.907643,1274.150331,654.999555,646.80338,906.615282,2144.015236,562.020366,761.450543,950.530703,1079.036558,730.923741,291.777411,0.0,288.223334,577.990879,575.470796,778.966039,889.848105,734.656966
Jiangxi,1509.644992,2348.684092,1887.459841,1607.430389,1403.056239,1324.914856,1991.129461,904.974285,3012.696865,1249.984806,1040.388844,894.654559,1067.799149,1168.123306,922.907014,934.551518,1163.711082,2410.941919,668.813756,999.880573,1115.251886,1366.163099,709.055527,261.983469,288.223334,0.0,377.485858,373.786123,528.066047,612.272654,451.909458
Anhui,1213.890558,1971.482349,1510.929753,1230.462801,1331.707493,1183.489096,1954.883039,821.001366,2896.13728,899.107927,705.595027,535.987426,795.777445,808.6599,1066.04631,1181.542252,1262.393779,2496.885097,1045.757201,1338.011839,1487.340786,1609.300744,467.20232,317.305995,577.990879,377.485858,0.0,650.028474,236.814882,411.323888,329.567036
Fujian,1851.881442,2543.61959,2078.852476,1808.517611,1771.004999,1698.700094,2347.470506,1277.733479,3382.649741,1548.08135,1354.82518,1184.229433,1417.843176,1454.711889,1227.249803,1155.289158,1481.43851,2711.567445,606.100595,1072.808668,1056.220571,1564.737054,1063.135282,635.379008,575.470796,373.786123,650.028474,0.0,678.918958,651.434367,501.033286
Jiangsu,1302.305682,1867.372744,1402.501067,1130.092836,1541.608991,1372.010543,2168.648389,1037.563319,3077.43531,925.494706,771.702052,574.203642,923.983699,821.429451,1302.037234,1404.599866,1498.901063,2730.721089,1179.249766,1525.229182,1634.8364,1835.2012,644.305453,545.833785,778.966039,528.066047,236.814882,678.918958,0.0,192.398329,202.221367
Shanghai,1472.268744,1911.300531,1449.059656,1189.877177,1732.390207,1564.392285,2358.753624,1226.22931,3269.0462,1074.359837,940.693998,739.435986,1109.006074,966.501145,1458.934815,1532.062712,1667.184905,2906.612043,1213.650071,1605.930258,1673.564084,1964.915418,836.693933,695.499167,889.848105,612.272654,411.323888,651.434367,192.398329,0.0,165.833526
Zhejiang,1494.131442,2045.015696,1580.674718,1313.729294,1658.873137,1512.698967,2279.572213,1146.588805,3225.018406,1126.57574,966.17489,771.82787,1100.410845,1023.179758,1326.67741,1380.250787,1545.557257,2791.850771,1049.232929,1441.165437,1509.074232,1813.037728,791.839064,566.877228,734.656966,451.909458,329.567036,501.033286,202.221367,165.833526,0.0
